name,phone_numbers,email,websites,yearEstablished,acceptsVolunteers,facebookLink,twitterLink,linkedinLink,instagramLink,logo,address_line1,address_line2,address_line3,address_city,address_stateOrRegion,address_zipOrPostcode,address_country,address_countryCode,latitude,longitude,facilityTypeId,operatorTypeId,affiliationTypeIds,description,area,numberDoctors,capacity,procedure,equipment,capability,specialties,source_doc
Koampaul Healthcare,['+233540398194' '+233507222358'],gutsthou@gmail.com,[],,,,,,,,,,,Accra,Accra,,,,,,,,,"Our main focus is to create awareness about healthy lifestyles, healthy food and improve health.",,,,[],[],[],,CSV Seed
Koforidua Clinic,['+233243317275'],info@koforiduaclinic.com,['koforiduaclinic.com'],,,,,,,,Nkubem Old Estate,,,Koforidua,Ghana,,,,,,,,,"Koforidua Clinic is a fully Ghanaian-owned, first-class private healthcare institution.",,,,[],[],"['Fully Ghanaian-owned private healthcare institution'
 'Describes itself as a first-class private healthcare institution'
 'Located at Nkubem Old Estate, Koforidua, Ghana'
 'Has extended working hours']",,CSV Seed
"Koforidua Regional Hospital, Eastern Region, Ghana",[],,[],,,,,,,,,,,Koforidua,Eastern Region,,,,,,,,,,,,,[],[],"['Located in Koforidua, Eastern Region, Ghana'
 ""Facebook page indicates 'Always open'""]",,CSV Seed
Kojokumikrom Rural Clinic,[],,[],,,,,,,,,,,Sromani,Ghana,,,,,,,,,,,,,[],[],"['Located in Sromani, Ghana' 'Open 24/7'
 'Categorized as Hospital on Facebook'
 'Facebook page created on June 1, 2019']",,CSV Seed
Kokofu General Hospital,['+233208544584' '+233545253979'],,[],,,,,,,,Kokofu off Bekwei Road,,,Kokofu,Ghana,,,,,,,,,Kokofu General hospital is known for its Dermatological specialization. We are number one when it comes to skin care. We run a 24 HR service. Our services are tailor made for every client.,,,,['Specializes in dermatology and skin care.'],[],"['Specializes in dermatology and skin care.' 'Provides 24-hour service.'
 'Always open.' 'Located off Bekwei Road in Kokofu, Ghana.']",,CSV Seed
Komfo Anokye Teaching Hospital (KATH),[],,[],,,,,,,,,,,Kumasi,Ghana,,,,,,,,,"Komfo Anokye Teaching Hospital (KATH) is a teaching hospital located in Kumasi, Ghana.",,,,[],[],[],,CSV Seed
Kpandai District Hospital,[],KpandaiDistrictHospital@yahoo.com,[],,,,,,,,,,,Kpandai,Northern Region,,,,,,,,,"A Government - owned Primary Care Hospital located in Kpandai, a community within the Northern Region",,,,[],[],"['Government-owned primary care hospital located in Kpandai, Northern Region, Ghana']",,CSV Seed
Kpendua,[],,[],,,,,,,,,,,Yabologu,Ghana,,,,,,,,,Hospital,,,,[],[],"['Kpendua is categorized as a hospital on Facebook (unofficial page).'
 'Located in Yabologu, Ghana.' 'Open 24/7 (Always open).'
 'Page created on April 27, 2019.' 'Has 1,008 check-ins on Facebook.'
 'Has 10 likes on Facebook.' 'Has 10 followers on Facebook.']",,CSV Seed
Kpone Health Centre,[],,[],,,,,,,,,,,Tema,Ghana,,,,,,,,,,,,,[],[],"['Located in Tema, Ghana' 'Listed as a hospital on Facebook'
 'Is an unofficial page for Kpone Health Centre' 'Is always open (24/7)'
 'Page created on 11 July 2019' '43 people checked in here'
 '1 person likes this page' '1 person follows this page']",,CSV Seed
Kristo Nti Maternity Home,['+233245950762'],,[],,,,,,,,Sefwi-yawmatwa Off Kaase Road,,,Wenchi,Ghana,,,,,,,,,"Kristo Nti Maternity Home is a private maternity home in Brong Ahafo, Techiman Ghana.",,,,[],[],"['Kristo Nti Maternity Home is a private maternity home located in Brong Ahafo, Techiman, Ghana.'
 'Address: Sefwi-yawmatwa Off Kaase Road, P.o.box 124 Wenchi B/a, Ghana.'
 'Location: Brong Ahafo region, Techiman, Ghana.'
 'Contact number: 024-595-076-2.'
 'Listed in categories: Nursing and Care; Healthcare Services; Pregnancy and Child Birth; Maternity Services; Maternity Homes.'
 'Registered with GhanaYello on 12 Apr 2018.'
 'Has 0 reviews on GhanaYello.']",,CSV Seed
Kropo Charity Hospital,['+233244840479'],,[],,,,,,,,Suame Anomanye Junction,,,Unknown,Ghana,,,,,,,,,Kropo Charity Hospital is a private primary hospital in Suame Anomanye Junction Ghana. It offers a general services. This primary hospital is NHIS accredited.,,,,[],[],"['Private primary hospital located at Suame Anomanye Junction, Ghana'
 'Offers general healthcare services' 'NHIS accredited'
 'Contact number: 0244-840479']",,CSV Seed
Kumaning Medical Centre,['+233322397366' '+233244618885'],info@kumaningmedicalcentre.com,['kumaningmedicalcentre.com'],,,,,,,,Plot 21 Block B,,,Kumasi,Ghana,,,,,,,,,Provides primary hospital healthcare services by a team of dedicated healthcare professionals.,,,,[],['Has a modern operating theatre'],"['Provides primary hospital healthcare services.'
 'Located in Kumasi, Ghana at Plot 21 Block B, Barekese Road, Opposite Kumasi Girls High School, Abrepo Panin.'
 'Phone number +233 32 239 7366.'
 'Alternate phone number 0244618885 for healthcare issues or directions.'
 'Email address info@kumaningmedicalcentre.com.'
 'Website http://www.kumaningmedicalcentre.com.']",,CSV Seed
Kumasi Children Hospital,[],,[],,,,,,,,,,,Kumasi,Ghana,,,,,,,,,,,,,[],[],[],,CSV Seed
"Kumoji Hospital - Cantonments, Accra",['+233302776650'],,[],,,,,,,,Switchback Road,,,Accra,Ghana,,,,,,,,,"Kumoji Hospital located at Switchback Road, Cantonments Cantonments, Accra, Ghana provides services in Health & Medical Centers.",,,,[],[],[],,CSV Seed
Kwabeng RCH,[],,[],,,,,,,,,,,Kwabeng,Ghana,,,,,,,,,,,,,[],[],['Operates 24/7'],,CSV Seed
Kwabenya Community Hospital,['+233244292007'],,[],,,,,,,,,,,Accra,Ghana,,,,,,,,,We are a fully equipped ultra modern health facility,,,,[],[],"['Located in Accra, Ghana'
 'Describes itself as a fully equipped ultra modern health facility'
 'Is always open']",,CSV Seed
Kwadaso Community Hospital,['+233257129161'],,[],,,,,,,,KWADASO PAPA KWASI JUNCTION,,,Kwadaso,Ghana,,,,,,,,,"Your Number one and reliable health care center with fully Hospital Equipment, Located at Kumasi Kwadaso Near Papa KWASI Junction Opposite Ohwimase D/A School",,,,[],[],"['Located at Kumasi Kwadaso near Papa Kwasi Junction opposite Ohwimase D/A School, Kumasi, Ghana'
 'Offers online booking' 'Has contact phone number +233 25 712 9161']",,CSV Seed
Kwadwo Boapim Herbal Clinic,['+233302915140'],info@kwadwoboapim.com,['kwadwoboapim.com'],,,,,,,,B308/15 Sakatsuru Link,,,Accra,Ghana,,,,,,,,,"Ministry of Health-approved Herbal Clinic and Research Lab (Reg. No. TMPP01644). Specializes in treating chronic and lifestyle diseases including diabetes, obesity, fibroid, impotence, barrenness, stroke, hypertension.",,,,[],[],"['Ministry of Health-approved Herbal Clinic and Research Lab (Reg. No. TMPP01644)'
 'Located at B308/15 Sakatsuru Link, New Abossey Okai, Accra, Ghana'
 'Treats chronic and lifestyle diseases including diabetes, obesity, fibroid, impotence, barrenness, stroke, hypertension'
 'Phone number +233 30 291 5140' 'Email info@kwadwoboapim.com'
 'Website kwadwoboapim.com']",,CSV Seed
Labone Dialysis Centre,['+233246823444'],labonedialysiscentre@gmail.com,[],,,,,,,,F203/6 Labone Link,,,Accra,Ghana,,,,,,,,,We offer customized service for clients with Chronic Kidney Disease (CKD). We are situated in Labone and pride ourselves on Excellent Customer Service.,,,,[],[],[],,CSV Seed
Labone Medical Centre,['+233302799660'],,[],,,,,,,,Orphan Crescent,,,Accra,Ghana,,,,,,,,,"Located in Labone near South African High Commission, we offer dental care. Opening Hours: 9am to 5pm",,,,[],[],"['Labone Medical Centre offers dental care'
 'Labone Medical Centre is located on Orphan Crescent, Accra, Ghana, in Labone near the South African High Commission'
 'Opening hours are 9am to 5pm' 'Contact phone number: +233 30 279 9660']",,CSV Seed
La Fe Eye Care & Optical Services,['+233244611000'],lafe8916@gmail.com,['lafegroup.simdif.com'],,,,,,,,No.B773/7 Mantse Boi Street,,,Accra,Ghana,,,,,,,,,"We offer Eye Care and Optical services, we do corporate screening and community mass screening progr",,,,[],[],"['Offers Eye Care and Optical services'
 'Provides corporate screening services'
 'Provides community mass screening programs'
 'Located at No.B773/7Mantse Boi Street, Kaneshie, Accra, Ghana'
 'Contact phone number +233 24 461 1000' 'Email lafe8916@gmail.com'
 'Promoted 360 primary Eye Care in a February 21, 2024 Facebook post']",,CSV Seed
"La General Hospital, Accra Ghana",['+233303302694'],,[],,,,,,,,Labadi Road,,,Accra,Ghana,,,,,,,,,Hospital,,,,[],[],"['Name: La General Hospital, Accra Ghana'
 'Location: Labadi Road, Accra, Ghana' 'Phone: +233 30 330 2694'
 'Page status: Unofficial Page' 'Category: Hospital'
 'Facebook page created on 9 December 2017' 'Hours: Always open'
 'Likes: 20' 'Followers: 20' 'Check-ins: 392']",,CSV Seed
"Lakeside Clinic - North Industrial Area, Accra",['+233302230496' '+233302253902'],,[],,,,,,,,Mukose Link,,,Accra,Ghana,,,,,,,,,"Lakeside Clinic located at Mukose Link, North Ind. Area North Industrial Area, Accra, Ghana provides services in Health & Medical Centers - Health Clinics.",,,,[],[],"['Lakeside Clinic is a health clinic located in North Industrial Area, Accra, Ghana.'
 'Address: Mukose Link, North Ind. Area, North Industrial Area, Accra, Ghana.'
 'Phone numbers: +233302 230496; +233 302 253902.'
 'Name: Lakeside Clinic - North Industrial Area, Accra.']",,CSV Seed
Lanbell Laboratory and Diagnostic Centre,['+233302552837'],info@lanbellgh.com,['lanbellgh.com'],,,,,,,,101 boundary Road opposite adelaide House,,,Accra,East Legon,,,,,,,,,"At Lanbell Laboratory and Diagnostic Services, we believe in accurate and timely diagnostic results",,,,[],[],"['Provides diagnostic laboratory services'
 'Located at 101 Boundary Road opposite Adelaide House, East Legon, Accra, Ghana'
 'Phone number is +233 30 255 2837' 'Email address is info@lanbellgh.com'
 'Website is lanbellgh.com'
 'Mission emphasizes accurate and timely diagnostic results']",,CSV Seed
Larkai Medical Centre,[],,[],,,,,,,,,,,Nima,Greater Accra,,,,,,,,,"Larkai Medical Centre is a private clinic in Greater Accra, Nima (near Police station) Ghana.",,,,[],[],"['Private clinic located in Greater Accra, Nima (near Police station), Ghana'
 'Listed on GhanaYello on 12 Apr 2018']",,CSV Seed
La Road Dental Clinic,['+233206301425'],laroaddentalclinic100@gmail.com,[],,,,,,,,Opposite Osu Police station,,,Accra,Ghana,,,,,,,,,A dental team dedicated to creating and providing beautiful smiles,,,,[],[],"['Located opposite Osu Police station, Accra, Ghana'
 'Offers general dentistry services' 'Currently closed']",,CSV Seed
"LARS Medical Center - Sunyani Abesim Opposite Victory Hardware, Sunyani, Ghana",['+233352196970'],larsmedicalc@gmail.com,[],,,,,,,,Sunyani Abesim Opposite Victory Hardware,,,Sunyani,Ghana,,,,,,,,,"Is a private health care provider located at Sunyani Abesim, Opposite Victory Hardware.",,,,[],[],"['LARS Medical Center is a private health care provider located at Sunyani Abesim, Opposite Victory Hardware, Sunyani, Ghana'
 'Always open']",,CSV Seed
LaserGlow Dental Clinic,['+233500370958'],laserglowdentalclinic@gmail.com,['laserglowghana.com'],,,,,,,,East Legon Boundary Road (Bethel House),,,Accra,Greater Accra,,,,,,,,,Dentist & Dental Office,,,,['Offers teeth whitening services'],[],"['Located at East Legon Boundary Road (Bethel House), Accra, Ghana'
 'Currently closed']",,CSV Seed
"LawFam Nutritional Clinic - 47 Fertilizer Road, Teshie, Ghana",['+233267638197'],lawfam2017@gmail.com,"['lawfamgh.com' 'https://www.youtube.com/@lawfamclinic'
 'https://x.com/lawfam5787']",,,,https://x.com/lawfam5787,,,,47 Fertilizer Road,,,Unknown,Ghana,,,,,,,,,"At LawFam Nutritional Clinic, we specialise in harnessing the power of gut health to optimise holistic wellness and resolve most fertility problems. We deliver Healthier, Stronger and Longer nutritional care!",,,,[],[],"['Located at 47 Fertilizer Road, Teshie, Ghana'
 'Specialises in gut health to optimise holistic wellness and resolve most fertility problems'
 'Delivers nutrition-focused care emphasizing gut health to support holistic wellness'
 'Contact phone number +233 26 763 8197' 'Email lawfam2017@gmail.com']",,CSV Seed
LEDing Medical Lab,['+233302558841' '+233302558842'],lab@ledingghana.com,['ledingghana.com'],,,,,,,,27 Pawpaw Street,,,East Legon,Ghana,,,,,,,,,"From our state-of-the-art laboratory at East Legon, we offer reliable and convenient COVID-19 PCR testing for travellers leaving Ghana; as well as individuals wishing to know their status.",,,,[],[],[],,CSV Seed
LEDing Medical Laboratory,['+233302558841'],lab@ledingghana.com,['ledingmedlab.com'],,,,,,,,27 Pawpaw Street,,,Accra,Ghana,,,,,,,,,LEDing Medical Laboratory is a licensed clinical laboratory providing high quality Polymerase Chain Reaction (PCR) testing against the Corona-Virus Disease (COVID-19).,,,,['Provides Polymerase Chain Reaction (PCR) testing for COVID-19.'],[],"['Licensed clinical laboratory'
 'Located at 27 Pawpaw Street, East Legon, Accra, Ghana'
 'Phone +233 30 255 8841' 'Email lab@ledingghana.com'
 'Website ledingmedlab.com']",,CSV Seed
Lekma Hospital – Teshie,['+233302717945'],"[""lekmahospital@gmail.com"",""lekmahospital2@gmail.com""]",['lekmahospital.org'],2010.0,,,,,,,"PMB Teshie Area – Office Location: Tswuibleoo, Teshie",,,Accra,Greater Accra,,,,,,,,,"The Lekma Hospital is a governmental health facility built by the Chinese Government in 2010 as a friendship hospital. It is a 100-bed capacity hospital with units including laboratory and radiological facilities, a Malaria Research Centre and a Herbal Medicine Unit. It serves as the municipal hospital for the Ledzokuku-Krowor (Teshie and Nungua) area and beyond. The hospital’s clinical staff includes 22 doctors (9 specialists) and over 200 nurses. It opened a special eye centre in 2013.",,22.0,100.0,[],['Laboratory facilities' 'Radiological facilities'],"['Has a 100-bed capacity general hospital serving the Ledzokuku-Krowor area (Teshie and Nungua) and beyond'
 'Eye center opened in 2013'
 'Malaria Research Centre is part of Lekma Hospital'
 'Herbal Medicine Unit is part of Lekma Hospital'
 '22 doctors including 9 specialists' 'Over 200 nurses'
 ""Governmental facility funded by the Government of the People's Republic of China""
 'Construction completed in 16 months and the hospital was inaugurated on 21 December 2010'
 'Approximately 7.28 million USD provided by the Government of China'
 'Adjacent Nursing and Health Assistant Training School collaborates with the hospital for practical training and internships'
 'Located at PMB Teshie Area; Office Location: Tswuibleoo, Teshie, Accra'
 'Website: http://www.lekmahospital.org; Email: lekmahospital@gmail.com and lekmahospital2@gmail.com; Phone: +233302717945'
 'The hospital lacks equipment and especially IT devices for administrative work'
 'Municipal hospital for the Ledzokuku-Krowor area (Teshie and Nungua) and beyond'
 'Building was established with support from China and relies on private and foreign donors']",,CSV Seed
"LEKMA Hospital - Teshie, Ghana",[],Kwabenadonkor41@gmail.com,[],,,,,,,,,,,Teshie,Ghana,,,,,,,,,"MISSION STATEMENT: To work in collaboration with other stakeholders in the health sector in providing healthcare to our cherished clients in the Ledzokuku-Krowor municipality and beyond irrespective of colour, race, socio cultural or religious affiliation",,,,[],[],"['LEKMA Hospital is located in Teshie, Ghana'
 'Serves the Ledzokuku-Krowor Municipality and beyond'
 'LEKMA Hospital is always open'
 'Mission statement: to work in collaboration with stakeholders in the health sector to provide healthcare to clients in the Ledzokuku-Krowor Municipality and beyond irrespective of colour, race, socio-cultural or religious affiliation']",,CSV Seed
Lenzvision Optical Center,['+233249256519'],lenzvisionopticals@gmail.com,['lenzvision.com'],,,,,,,,Nmai Dzorn - Adjiringanor Road,,,Accra,Ghana,,,,,,,,,,,,,[],[],"['Located at Nmai Dzorn - Adjiringanor Road, Accra, Ghana'
 'Offers online booking' 'Offers delivery' 'Offers in-store pickup'
 'Has website lenzvision.com']",,CSV Seed
Life Healthcare Center Ghana,['+233263834943'],life.healthcareghgroup@gmail.com,['lhcgh.com'],,,,,,,,Achimota Mall,,,Accra,Ghana,,,,,,,,,"We render MEDICAL, DENTAL, OPTICAL, LABORATORY & PHARMACY services.",,,,[],[],"['Offers medical, dental, optical, laboratory and pharmacy services'
 'Appointments and walk-ins are allowed'
 'Locations include Achimota Mall, Accra Mall, and Junction Mall in Accra, Ghana']",,CSV Seed
Life Sciences Medical Centre,['+233546279470'],lsmcsocialmedia@gmail.com,[],,,,,,,,Interburton,,,Cape Coast,Ghana,,,,,,,,,One-stop destination for General Medical & Eye Consultation; Fully Automated Medical Laboratory; Medical Imaging; Medical Consumables,,,,[],[],"['Offers General Medical and Eye Consultation'
 'Operates a Fully Automated Medical Laboratory'
 'Provides Medical Imaging services' 'Provides Medical Consumables'
 'Located in Interburton, Cape Coast, Ghana' 'Is always open'
 'Phone: +233 54 627 9470' 'Email: lsmcsocialmedia@gmail.com']",,CSV Seed
Little Hearts Medical Practice,['+233204404404'],info@littleheartsmedicalpractice.com,['littleheartsmedicalpractice.com'],,,,,,,,48 Mango Street,,,Accra,Ghana,,,,,,,,,,,,,[],[],[],,CSV Seed
Lizzie's Maternity Home,['+233208072307' '+233302413573'],,[],,,,,,,,7 Days Road Ofankor,,,Unknown,Ghana,,,,,,,,,Safe haven for mothers and newborns.,,,,[],[],[],,CSV Seed
Lod Health Lounge,['+233554503006'],lodhealthlounge@yahoo.com,['lodhealthlounge.com'],,,,,,,,11 Pampron Djorn St New Nmai Dzorn,,,Accra,Ghana,,,,,,,,,Proactively ensure a positive client and health care provider interaction.,,,,['Offers open fibroid surgery'],[],"['Located at 11 Pampron Djorn St New Nmai Dzorn, Accra, Ghana'
 'Phone number is +233 55 450 3006'
 'Email address is lodhealthlounge@yahoo.com'
 'Website is lodhealthlounge.com']",,CSV Seed
Lucy Memorial Hospital,['+233204333220'],lucymemorialhospital@yahoo.com,['lucymemorialhospital.com'],,,,,,,,P O Box OF 528 South Ofankor,,,Accra,Ghana,,,,,,,,,"Lucy Memorial Hospital provides a 24-hour ambulance service to our clients for emergency cases for both outdoor and indoor cases. Just call us and give the necessary information, we are at your service. Call: 0302 333 125; 050 146 2630.",,,,[],[],"['Located in Ofanko, Accra, Ghana.'
 'Postal address: P O Box OF 528 South Ofankor, Accra, Ghana.'
 'Phone numbers: +233 20 433 3220; 050 146 2630; 0302 333 125.'
 'Email address: lucymemorialhospital@yahoo.com.'
 'Website contact page: lucymemorialhospital.com/contact.'
 'Provides 24-hour ambulance service for emergency cases (outdoor and indoor).'
 'Always open (24/7 operation).'
 'Self-described as a first-class hospital providing high-quality healthcare services.']",,CSV Seed
Madina Polyclinic Kekele,['+233302942376'],mpckekele12@yahoo.com,[],,,,,,,,"Madina, Doku",,,Accra,Ghana,,,,,,,,,We are a world class primary healthcare facility with dedicated staff. We offer all OPD service.,,,,[],[],"['Located in Madina, Doku, Accra, Ghana.' 'Open 24/7.'
 'Offers all outpatient department (OPD) services.'
 'Identifies as a world-class primary healthcare facility with dedicated staff.'
 'Phone number: +233 30 294 2376.' 'Email: mpckekele12@yahoo.com.']",,CSV Seed
MAGGIE'S MATERNITY HOME,['+23324981351'],,[],,,,,,,,GYATO C/O/JUABOSO GOVT HOSPITAL,,,Juaboso,Ghana,,,,,,,,,"Type: Maternity Home. Ownership: Private. Location: GYATO C/O/JUABOSO GOVT HOSPITAL. Tel: 024-981-351. Services: Antenatal, Post-natal. NHIS accredited?: yes.",,,,[],[],"['Type: Maternity Home' 'Ownership: Private'
 'Location: Gyato C/O Juaboso Govt Hospital' 'Telephone: 024-981-351'
 'NHIS accredited: Yes' 'Services: Antenatal, Post-natal']",,CSV Seed
Makango Clinic,[],,[],,,,,,,,Salaga-Atetubu Road,,,Kabiase Gonja,Ghana,,,,,,,,,"Hospital on Salaga-Atetubu Road, Kabiase Gonja, Ghana.",,,,[],[],"['Located on Salaga-Atetubu Road, Kabiase Gonja, Ghana'
 'Operates as a hospital' 'Open 24/7'
 'Facebook page is labeled as an unofficial page'
 'Facebook page created on July 2, 2019' '248 people checked in here'
 '3 people like this page' '3 people follow this page']",,CSV Seed
Mampong Quality Hospital,[],,[],,,,,,,,,,,Mampong,Ashanti,,,,,,,,,"Mampong Quality Hospital is a private hospital in Ashanti, Mampong Ghana.",,,,[],[],"['Mampong Quality Hospital is a private hospital located in Mampong, Ashanti, Ghana.']",,CSV Seed
Mamudu PHC Clinic,[],,[],,,,,,,,,,,Mamudukrom,Western,,,,,,,,,"Mamudu PHC Clinic is a private clinic in Western, Mamudukrom Ghana.",,,,[],[],"['Private clinic located in Western, Mamudukrom, Ghana'
 'Address: Western, Mamudukrom, Ghana'
 'Listed in Doctors and Clinics, Hospitals, Medical Clinics, Health Care categories on GhanaYello'
 'Listed on GhanaYello since 12 Apr 2018']",,CSV Seed
MANAM Ghana Dental House,['+233501866932'],manamghanadentalhouse@gmail.com,['manamdentalghana.com'],,,,,,,,No. 2 Adjoate Street,,,Accra,Ghana,,,,,,,,,"we are located in osu,behind koala /opposite Rabito clinic.we offer a comprehensive set of oral care",,,,[],[],"['Located in Osu, Accra, Ghana, behind Koala and opposite Rabito Clinic'
 'Address: No. 2 Adjoate Street, Osu, Accra, Ghana'
 'Offers a comprehensive set of oral care services'
 'Phone: +233 50 186 6932' 'Email: manamghanadentalhouse@gmail.com']",,CSV Seed
Manhyia District Hospital,['+233244807070'],,[],,,,,,,,MANHYIA AROUND ASANTEHENE'S PALACE,,,Unknown,Ashanti Region,,,,,,,,,Services: General. NHIS accredited: yes.,,,,[],[],[],,CSV Seed
Mankranso Government Hospital,[],,[],,,,,,,,,,,Mankranso,Ghana,,,,,,,,,,,,,[],[],"['Located in Mankranso, Ghana'
 'Geographic coordinates are 6.8168849945068, -1.8580620288849'
 'Page category is Hospital and is an unofficial page'
 'Page was created on 12 April 2019'
 'Facebook page indicates the hospital is always open'
 'Has 23 likes on its Facebook page'
 'Has 23 followers on its Facebook page'
 'Has 305 check-ins on its Facebook page']",,CSV Seed
Manna Mission Hospital,[],,[],,,,,,,,,,,Accra,Greater Accra,,,,,,,,,Manna Mission Hospital Recognized by Ledzokuku Municipal Health Directorate (GHS) under Ghana ministry of health in Greater Accra Ghana as - The Best Private Health Facility - Timely and Accurate Data Submission in 2024,,,,[],[],"['Based in Accra, Ghana' 'Always open (24/7 operations)'
 'Recognized by Ledzokuku Municipal Health Directorate (GHS) under the Ghana Ministry of Health in Greater Accra as The Best Private Health Facility for timely and accurate data submission in 2024'
 '234 people checked in here']",,CSV Seed
"Mansowa Herbal Clinic, Kasoa",['+233554151758'],mansowaherbalkasoa@gmail.com,['mansowaherbal.com'],,,,,,,,Cp -tophill (presby junction),,,Accra,SH,,,,,,,,,,,,,[],[],"['Located in Kasoa, Ghana'
 'Treats diabetes, infertility, sciatica, and prostrate disorders'
 'Has website mansowaherbal.com' 'Email mansowaherbalkasoa@gmail.com'
 'Phone +233 55 415 1758']",,CSV Seed
"Marie Stopes Ghana, 26 Akwei Street, Tesano, Accra, Ghana",['0800 20 8585'],,[],2006.0,,,,,,,26 Akwei Street,,,Accra,Ghana,,,,,,,,,"Marie Stopes Ghana has built a strong reputation for consistently delivering quality, voluntary family planning services across the country.",,,,[],[],"['Provides contraception, reproductive health, and family planning services across Ghana.'
 'Offers Pregnancy Options Counselling Services.'
 'Offers Sexual and Reproductive Health Services.'
 'Offers Services for Men.'
 'Offers Contraception and family planning services.'
 'Offers General Health Services.' 'Offers Acacia Insurance Partner.'
 'Operates mobile outreach teams.' 'Operates BlueStar Franchise Network.'
 'Operates call centre teams as part of service delivery.'
 'Is part of MSI Reproductive Choices.'
 'Maintains quality assurance for clinical quality and family planning services.'
 'Opened in 2006.' 'Located at 26 Akwei Street, Tesano, Accra, Ghana.'
 'Contact number 0800 20 8585.']",,CSV Seed
Marie Stopes Ghana (Ashiaman Clinic),['+233302208585'],,[],,,,,,,,"Ashaiman Traffic, Papaye Building",,,Ashaiman,Ghana,,,,,,,,,Pregnancy Care Center,,,,[],[],"['Located at Ashaiman Traffic, Papaye Building, Ashaiman, Ghana'
 'Pregnancy care center' 'Phone number +233 30 220 8585'
 'Telemedicine available; call 0800208585 for assistance'
 'Ashaiman clinic is currently closed'
 'Tamale clinic using the Marie Stopes Tamale name is not affiliated with Marie Stopes Ghana']",,CSV Seed
Marie Stopes Ghana (Santasi Clinic),['+233302208585'],,[],,,,,,,,Santasi Roundabout,,,Santasi,Ghana,,,,,,,,,Pregnancy Care Center,,,,[],[],"['Marie Stopes Ghana Santasi Clinic operates as a pregnancy care center'
 'Located at Santasi Roundabout, Opposite Palace Supermarket, On top of Fidelity Bank, Santasi, Ghana'
 'Phone number +233 30 220 8585 for inquiries'
 'Telemedicine is available; call 0800208585 for assistance'
 'Tamale clinic is not affiliated with Marie Stopes Ghana; directions to the nearest Marie Stopes Clinic available via 0800208585']",,CSV Seed
Marie Stopes Ghana (Takoradi Clinic),['+233302208585'],,[],,,,,,,,"Takoradi Kwesimintsim Station, on top of Lower Pra Rural Bank",,,Takoradi,Ghana,,,,,,,,,Pregnancy Care Center,,,,[],[],"['Located at Takoradi Kwesimintsim Station, on top of Lower Pra Rural Bank, Kwesimintsim, Ghana.'
 'Operates as a pregnancy care center under Marie Stopes Ghana Takoradi Clinic.'
 'Telemedicine is available; assistance can be obtained by calling 0800208585.'
 'Official contact phone numbers are +233 30 220 8585 and 0800208585.'
 'Tamale clinic is not affiliated with Marie Stopes Ghana; Marie Stopes Ghana no longer operates a clinic in Tamale.']",,CSV Seed
Mark's Dental Clinic at Valco Towers,[],,[],,,,,,,,,,,Accra,Ghana,,,,,,,,,Dentist & Dental Office,,,,[],[],"['Operates as a dentist and dental office' 'Located in Accra, Ghana'
 'Page category is Dentist & Dental Office' 'Page is labeled unofficial'
 'Facebook page was created on April 24, 2017' 'Has 9 likes'
 'Has 9 followers' 'Has 37 check-ins']",,CSV Seed
Mary Lucy Hospital And Fertility Centre,['+233501462639'],info@marylucyhospital.com,['marylucyhospital.com'],,,,,,,,,,,Accra,Ghana,,,,,,,,,Welcome to Mary Lucy Hospital where providing quality patient care in the safest manner is guaranteed,,,,[],[],[],,CSV Seed
Maternal and Child Health Hospital,[],,[],,,,,,,,,,,Kumasi,Ghana,,,,,,,,,,,,,[],[],[],,CSV Seed
"Maternal and Child Health Hospital, Pampaso","['+233504171773' '+2330244171773' '+233244062030' '+233208223809'
 '+233243446693' '+233208174544']",mchhospital@ymail.com,[],1910.0,,,,,,,"Children's Hospital, Okomfo Anokye Road",,,Kumasi,Ghana,,,,,,,,,"The Maternal and Child Health Hospital (MCHH) popularly known as C.W.C or Kwashiorkor clinic is centrally located in the Subin Sub-Metro within the Kumasi Metropolis, established by the Government of Gold Coast in 1910.  The only Hospital in the Northern part of Ghana dedicated to care for Malnourished Children and Adults.",,,,[],[],"['Established by the Government of Gold Coast in 1910'
 'Located in Subin Sub-Metro within the Kumasi Metropolis'
 'Specializes in care for malnourished children and adults'
 'Has 24-hour emergency services'
 'Administrative hours: 8:30am to 4:30pm on weekdays'
 'Has a Physiotherapy Unit (Physiotherapy Unit-MCHH)'
 'Address: Children’s Hospital, Okomfo Anokye Road, Kumasi, Ghana'
 'Medical Superintendent contact: +233 504 171 773; +233 0244 171 773'
 'Administrator contact: +233 244 062 030; +233 208 223 809'
 'Accountant contact: +233 243 446 693; +233 208 174 544'
 'Email: mchhospital@ymail.com']",,CSV Seed
Matthias Catholic Hospital,['BP – 00004 – 3977'],,[],,,,,,,,,,,Yeji,Techiman Municipal,,,,,,,,,,,,,[],[],[],,CSV Seed
Max-Mum Medical Centre,['+233200585849'],info@maxmumcareplus.com,['maxmumcareplus.com'],,,,,,,,Brenya Ave 97,,,Accra,Ghana,,,,,,,,,,,,,[],[],"['Operates as a hospital, medical laboratory, and pharmacy / drugstore'
 'Located at Brenya Ave 97, Accra, Ghana' 'Phone number +233 20 058 5849'
 'Email info@maxmumcareplus.com' 'Website maxmumcareplus.com'
 'Always open']",,CSV Seed
